DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,PAX
2011-12-05,ORD,Chicago,41.978603,-87.904842,EWR,Newark,40.6925,-74.168667,8.35294117647,5.66724333859,7
2013-03-01,ATL,Atlanta,33.636719,-84.428067,LGA,New York,40.777245,-73.872608,10.4210526316,10.0017542321,7
2012-02-06,ORD,Chicago,41.978603,-87.904842,BOS,Boston,42.364347,-71.005181,9.25,7.13682075761,7
2012-12-10,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,8.66666666667,7.40429128356,7
2012-04-13,SFO,San Francisco,37.618972,-122.374889,JFK,New York,40.639751,-73.778925,14.037037037,9.85854366481,7
2011-11-19,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,13.6538461538,9.5621851381,7
2012-04-09,LGA,New York,40.777245,-73.872608,DFW,Dallas-Fort Worth,32.896828,-97.037997,9.52631578947,6.68637437923,7
2012-05-29,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,9.55,7.8302718915,7
2012-09-28,LAX,Los Angeles,33.942536,-118.408075,ORD,Chicago,41.978603,-87.904842,15.8333333333,11.1326897742,7
2012-02-12,JFK,New York,40.639751,-73.778925,SFO,San Francisco,37.618972,-122.374889,9.89473684211,7.99232087584,7
2011-09-17,EWR,Newark,40.6925,-74.168667,ATL,Atlanta,33.636719,-84.428067,7.6,5.32916503779,2
2012-06-17,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,17.6176470588,13.2345157228,7
2011-12-28,LAX,Los Angeles,33.942536,-118.408075,JFK,New York,40.639751,-73.778925,19.6829268293,12.8421941747,7
2011-10-09,LAX,Los Angeles,33.942536,-118.408075,DEN,Denver,39.861656,-104.673178,13.3076923077,8.92533128021,0
2012-12-01,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.1363636364,12.0881502565,0
2012-12-21,DTW,Detroit,42.212444,-83.353389,ATL,Atlanta,33.636719,-84.428067,12.0384615385,8.03233848505,0
2012-06-13,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,15.3571428571,11.2058658109,0
2012-07-15,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,14.4827586207,9.50045370967,0
2012-02-05,SFO,San Francisco,37.618972,-122.374889,BOS,Boston,42.364347,-71.005181,8.83333333333,5.86364672718,0
2012-12-26,ATL,Atlanta,33.636719,-84.428067,DFW,Dallas-Fort Worth,32.896828,-97.037997,9.21052631579,5.98682764602,0
2012-04-25,ATL,Atlanta,33.636719,-84.428067,LGA,New York,40.777245,-73.872608,8.21052631579,5.78867618112,7
2012-10-04,LGA,New York,40.777245,-73.872608,DFW,Dallas-Fort Worth,32.896828,-97.037997,17.8387096774,12.6599019854,7
2012-11-10,LAS,Las Vegas,36.080056,-115.15225,JFK,New York,40.639751,-73.778925,14.275862069,10.9050989113,0
2013-01-26,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,7.86666666667,6.13964478575,2
2012-11-22,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364347,-71.005181,8.76470588235,6.47620077442,4
2012-11-29,MIA,Miami,25.79325,-80.290556,JFK,New York,40.639751,-73.778925,14.25,14.4071436959,2
2012-12-24,DFW,Dallas-Fort Worth,32.896828,-97.037997,ORD,Chicago,41.978603,-87.904842,9.0,6.33384930819,2
2013-02-08,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,10.0952380952,6.36321272554,0
2012-06-19,ORD,Chicago,41.978603,-87.904842,PHX,Phoenix,33.434278,-112.011583,11.7727272727,8.97049034165,0
2013-01-24,MIA,Miami,25.79325,-80.290556,JFK,New York,40.639751,-73.778925,11.5555555556,11.9026552758,2
2012-05-12,ORD,Chicago,41.978603,-87.904842,LGA,New York,40.777245,-73.872608,16.3043478261,14.1467464381,3
2013-01-05,MIA,Miami,25.79325,-80.290556,LGA,New York,40.777245,-73.872608,17.6060606061,11.5972501965,0
2012-08-12,LGA,New York,40.777245,-73.872608,BOS,Boston,42.364347,-71.005181,6.3,5.73585215988,2
2012-02-29,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,10.8947368421,9.49792221045,3
2013-01-31,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,6.30769230769,4.44193305114,0
2012-03-09,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.44444444444,7.35024787275,3
2012-05-22,ORD,Chicago,41.978603,-87.904842,LAX,Los Angeles,33.942536,-118.408075,11.84,8.77819267655,7
2012-09-02,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,14.6666666667,10.6011610395,2
2012-04-17,DFW,Dallas-Fort Worth,32.896828,-97.037997,ATL,Atlanta,33.636719,-84.428067,7.66666666667,5.43409714347,3
2012-09-27,LAX,Los Angeles,33.942536,-118.408075,LAS,Las Vegas,36.080056,-115.15225,18.7027027027,13.0594045824,3
2012-05-27,ATL,Atlanta,33.636719,-84.428067,ORD,Chicago,41.978603,-87.904842,11.7391304348,10.3932556423,2
2012-01-08,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,11.2631578947,10.2080692769,0
2012-02-27,DFW,Dallas-Fort Worth,32.896828,-97.037997,DEN,Denver,39.861656,-104.673178,9.15,6.84624368772,3
2012-02-16,LAX,Los Angeles,33.942536,-118.408075,SEA,Seattle,47.449,-122.309306,10.05,6.80150912047,3
2012-02-01,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.83333333333,7.67156706133,3
2012-07-26,LAX,Los Angeles,33.942536,-118.408075,DFW,Dallas-Fort Worth,32.896828,-97.037997,16.6363636364,12.2444328723,3
2011-12-31,PHL,Philadelphia,39.871944,-75.241139,DFW,Dallas-Fort Worth,32.896828,-97.037997,7.5,4.7609522857,4
2012-12-12,JFK,New York,40.639751,-73.778925,LAS,Las Vegas,36.080056,-115.15225,14.5416666667,13.1479182239,2
2012-09-19,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,11.0476190476,8.32151542975,0
2012-12-18,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,9.27777777778,6.80661923127,0
2012-05-21,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,10.25,7.63561599211,3
2012-01-09,ORD,Chicago,41.978603,-87.904842,DFW,Dallas-Fort Worth,32.896828,-97.037997,10.7,7.6921012118,7
2012-07-20,ORD,Chicago,41.978603,-87.904842,EWR,Newark,40.6925,-74.168667,14.6428571429,10.3966315261,7
2011-09-11,LGA,New York,40.777245,-73.872608,ORD,Chicago,41.978603,-87.904842,12.3703703704,8.3165643246,7
2011-09-02,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,11.625,7.3058195981,0
2012-04-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,10.7,7.74664613338,0
2012-09-04,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,14.6666666667,10.3867731982,7
2012-06-02,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364347,-71.005181,8.29411764706,5.42868199799,2
2011-11-26,JFK,New York,40.639751,-73.778925,LAS,Las Vegas,36.080056,-115.15225,13.6,9.85308750257,5
2012-02-13,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861656,-104.673178,12.7,11.1076076348,0
2013-02-28,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,9.35294117647,8.59462896575,3
2011-11-16,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,8.31578947368,6.0374077548,3
2012-10-11,JFK,New York,40.639751,-73.778925,MCO,Orlando,28.429394,-81.308994,15.275862069,10.2779116546,0
2013-02-15,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.77777777778,8.01142974356,3
2012-11-12,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,8.88888888889,6.06716222927,3
2011-09-26,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,7.41176470588,5.71247345212,3
2012-06-08,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,9.89473684211,7.00709748788,0
2011-12-15,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,11.9545454545,9.45403553403,3
2011-09-18,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,13.6785714286,8.51166333324,3
2011-12-01,ORD,Chicago,41.978603,-87.904842,DEN,Denver,39.861656,-104.673178,9.05882352941,6.85082648513,3
2011-12-18,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,10.8333333333,7.37602854533,0
2012-02-26,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861656,-104.673178,12.2631578947,12.0639136144,5
2012-12-21,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364347,-71.005181,15.52,12.8423777653,5
2012-03-15,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,11.7391304348,9.40124455641,3
2012-11-23,CLT,Charlotte,35.214,-80.943139,LGA,New York,40.777245,-73.872608,10.55,7.81008120451,5
2012-12-01,ATL,Atlanta,33.636719,-84.428067,ORD,Chicago,41.978603,-87.904842,11.6,11.7042502402,5
2012-05-05,IAH,Houston,29.984433,-95.341442,ORD,Chicago,41.978603,-87.904842,10.55,10.6399198652,5
2013-03-02,LAX,Los Angeles,33.942536,-118.408075,LAS,Las Vegas,36.080056,-115.15225,10.2222222222,9.84321537349,5
2012-04-18,ATL,Atlanta,33.636719,-84.428067,MIA,Miami,25.79325,-80.290556,7.0,4.472135955,0
2012-04-28,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,8.47058823529,6.10448244181,5
2013-03-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,6.92857142857,4.8272350059,0
2012-02-15,ATL,Atlanta,33.636719,-84.428067,DTW,Detroit,42.212444,-83.353389,8.46153846154,7.69865123052,0
2012-05-04,LAS,Las Vegas,36.080056,-115.15225,DFW,Dallas-Fort Worth,32.896828,-97.037997,12.0454545455,9.32726302287,3
2012-10-25,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,13.84,10.0775327668,0
